DATE,sprtrn
20160104,-0.015304
20160105,0.002012
20160106,-0.013115
20160107,-0.023700
20160108,-0.010838
20160111,0.000853
20160112,0.007803
20160113,-0.024965
20160114,0.016696
20160115,-0.021599
20160119,0.000532
20160120,-0.011694
20160121,0.005195
20160122,0.020284
20160125,-0.015638
20160126,0.014144
20160127,-0.010863
20160128,0.005529
20160129,0.024760
20160201,-0.000443
20160202,-0.018743
20160203,0.004992
20160204,0.001527
20160205,-0.018481
20160208,-0.014154
20160209,-0.000664
20160210,-0.000189
20160211,-0.012301
20160212,0.019518
20160216,0.016517
20160217,0.016480
20160218,-0.004666
20160219,-0.000026
20160222,0.014454
20160223,-0.012454
20160224,0.004440
20160225,0.011348
20160226,-0.001870
20160229,-0.008121
20160301,0.023869
20160302,0.004094
20160303,0.003499
20160304,0.003306
20160307,0.000885
20160308,-0.011240
20160309,0.005052
20160310,0.000156
20160311,0.016396
20160314,-0.001261
20160315,-0.001837
20160316,0.005600
20160317,0.006595
20160318,0.004406
20160321,0.000986
20160322,-0.000877
20160323,-0.006386
20160324,-0.000378
20160328,0.000545
20160329,0.008817
20160330,0.004350
20160331,-0.002040
20160401,0.006331
20160404,-0.003208
20160405,-0.010145
20160406,0.010508
20160407,-0.011976
20160408,0.002787
20160411,-0.002740
20160412,0.009662
20160413,0.010040
20160414,0.000173
20160415,-0.000984
20160418,0.006541
20160419,0.003085
20160420,0.000762
20160421,-0.005194
20160422,0.000048
20160425,-0.001812
20160426,0.001873
20160427,0.001649
20160428,-0.009231
20160429,-0.005063
20160502,0.007810
20160503,-0.008677
20160504,-0.005937
20160505,-0.000239
20160506,0.003175
20160509,0.000753
20160510,0.012484
20160511,-0.009562
20160512,-0.000170
20160513,-0.008478
20160516,0.009797
20160517,-0.009411
20160518,0.000205
20160519,-0.003707
20160520,0.006019
20160523,-0.002085
20160524,0.013681
20160525,0.006975
20160526,-0.000210
20160527,0.004287
20160531,-0.001000
20160601,0.001130
20160602,0.002825
20160603,-0.002912
20160606,0.004897
20160607,0.001289
20160608,0.003309
20160609,-0.001718
20160610,-0.009175
20160613,-0.008115
20160614,-0.001799
20160615,-0.001841
20160616,0.003133
20160617,-0.003258
20160620,0.005808
20160621,0.002712
20160622,-0.001652
20160623,0.013364
20160624,-0.035920
20160627,-0.018097
20160628,0.017770
20160629,0.017033
20160630,0.013565
20160701,0.001949
20160705,-0.006848
20160706,0.005353
20160707,-0.000872
20160708,0.015253
20160711,0.003409
20160712,0.007009
20160713,0.000135
20160714,0.005259
20160715,-0.000929
20160718,0.002382
20160719,-0.001435
20160720,0.004270
20160721,-0.003612
20160722,0.004554
20160725,-0.003011
20160726,0.000323
20160727,-0.001199
20160728,0.001606
20160729,0.001631
20160801,-0.001270
20160802,-0.006362
20160803,0.003134
20160804,0.000213
20160805,0.008603
20160808,-0.000907
20160809,0.000390
20160810,-0.002865
20160811,0.004735
20160812,-0.000796
20160815,0.002793
20160816,-0.005479
20160817,0.001869
20160818,0.002200
20160819,-0.001440
20160822,-0.000563
20160823,0.001952
20160824,-0.005240
20160825,-0.001365
20160826,-0.001579
20160829,0.005228
20160830,-0.001954
20160831,-0.002376
20160901,-0.000041
20160902,0.004201
20160906,0.002982
20160907,-0.000146
20160908,-0.002223
20160909,-0.024522
20160912,0.014677
20160913,-0.014831
20160914,-0.000588
20160915,0.010109
20160916,-0.003772
20160919,-0.000019
20160920,0.000299
20160921,0.010917
20160922,0.006500
20160923,-0.005737
20160926,-0.008588
20160927,0.006444
20160928,0.005296
20160929,-0.009321
20160930,0.007968
20161003,-0.003261
20161004,-0.004956
20161005,0.004297
20161006,0.000482
20161007,-0.003253
20161010,0.004606
20161011,-0.012447
20161012,0.001147
20161013,-0.003099
20161014,0.000202
20161017,-0.003038
20161018,0.006160
20161019,0.002192
20161020,-0.001376
20161021,-0.000084
20161024,0.004750
20161025,-0.003798
20161026,-0.001740
20161027,-0.002987
20161028,-0.003108
20161031,-0.000122
20161101,-0.006787
20161102,-0.006525
20161103,-0.004423
20161104,-0.001666
20161107,0.022224
20161108,0.003772
20161109,0.011077
20161110,0.001951
20161111,-0.001398
20161114,-0.000116
20161115,0.007481
20161116,-0.001582
20161117,0.004676
20161118,-0.002387
20161121,0.007461
20161122,0.002165
20161123,0.000808
20161125,0.003914
20161128,-0.005254
20161129,0.001335
20161130,-0.002653
20161201,-0.003516
20161202,0.000397
20161205,0.005821
20161206,0.003411
20161207,0.013163
20161208,0.002159
20161209,0.005939
20161212,-0.001137
20161213,0.006540
20161214,-0.008117
20161215,0.003883
20161216,-0.001751
20161219,0.001975
20161220,0.003638
20161221,-0.002457
20161222,-0.001863
20161223,0.001252
20161227,0.002248
20161228,-0.008357
20161229,-0.000293
20161230,-0.004637
20170103,0.008487
20170104,0.005722
20170105,-0.000771
20170106,0.003517
20170109,-0.003549
20170110,0.000000
20170111,0.002830
20170112,-0.002145
20170113,0.001850
20170117,-0.002968
20170118,0.001764
20170119,-0.003609
20170120,0.003366
20170123,-0.002690
20170124,0.006565
20170125,0.008026
20170126,-0.000735
20170127,-0.000866
20170130,-0.006010
20170131,-0.000890
20170201,0.000298
20170202,0.000570
20170203,0.007265
20170206,-0.002115
20170207,0.000227
20170208,0.000693
20170209,0.005752
20170210,0.003566
20170213,0.005246
20170214,0.004007
20170215,0.004992
20170216,-0.000864
20170217,0.001679
20170221,0.006048
20170222,-0.001082
20170223,0.000419
20170224,0.001493
20170227,0.001018
20170228,-0.002578
20170301,0.013674
20170302,-0.005860
20170303,0.000504
20170306,-0.003277
20170307,-0.002913
20170308,-0.002284
20170309,0.000800
20170310,0.003269
20170313,0.000367
20170314,-0.003379
20170315,0.008375
20170316,-0.001627
20170317,-0.001314
20170320,-0.002010
20170321,-0.012408
20170322,0.001890
20170323,-0.001060
20170324,-0.000844
20170327,-0.001020
20170328,0.007251
20170329,0.001085
20170330,0.002935
20170331,-0.002255
20170403,-0.001642
20170404,0.000560
20170405,-0.003055
20170406,0.001929
20170407,-0.000827
20170410,0.000688
20170411,-0.001434
20170412,-0.003760
20170413,-0.006815
20170417,0.008613
20170418,-0.002903
20170419,-0.001716
20170420,0.007557
20170421,-0.003035
20170424,0.010840
20170425,0.006091
20170426,-0.000486
20170427,0.000553
20170428,-0.001913
20170501,0.001732
20170502,0.001189
20170503,-0.001271
20170504,0.000582
20170505,0.004089
20170508,0.000038
20170509,-0.001025
20170510,0.001131
20170511,-0.002163
20170512,-0.001478
20170515,0.004776
20170516,-0.000687
20170517,-0.018178
20170518,0.003687
20170519,0.006767
20170522,0.005160
20170523,0.001838
20170524,0.002489
20170525,0.004442
20170526,0.000311
20170530,-0.001205
20170531,-0.000460
20170601,0.007571
20170602,0.003708
20170605,-0.001218
20170606,-0.002779
20170607,0.001568
20170608,0.000267
20170609,-0.000830
20170612,-0.000979
20170613,0.004511
20170614,-0.000996
20170615,-0.002240
20170616,0.000284
20170619,0.008347
20170620,-0.006697
20170621,-0.000583
20170622,-0.000456
20170623,0.001561
20170626,0.000316
20170627,-0.008073
20170628,0.008808
20170629,-0.008600
20170630,0.001533
20170703,0.002311
20170705,0.001453
20170706,-0.009369
20170707,0.006403
20170710,0.000928
20170711,-0.000783
20170712,0.007306
20170713,0.001875
20170714,0.004674
20170717,-0.000053
20170718,0.000598
20170719,0.005373
20170720,-0.000154
20170721,-0.000368
20170724,-0.001064
20170725,0.002923
20170726,0.000283
20170727,-0.000973
20170728,-0.001341
20170731,-0.000728
20170801,0.002449
20170802,0.000493
20170803,-0.002184
20170804,0.001889
20170807,0.001647
20170808,-0.002414
20170809,-0.000364
20170810,-0.014474
20170811,0.001276
20170814,0.010044
20170815,-0.000499
20170816,0.001420
20170817,-0.015437
20170818,-0.001835
20170821,0.001163
20170822,0.009941
20170823,-0.003454
20170824,-0.002074
20170825,0.001673
20170828,0.000487
20170829,0.000843
20170830,0.004615
20170831,0.005721
20170901,0.001982
20170905,-0.007551
20170906,0.003129
20170907,-0.000178
20170908,-0.001489
20170911,0.010839
20170912,0.003364
20170913,0.000757
20170914,-0.001101
20170915,0.001847
20170918,0.001456
20170919,0.001110
20170920,0.000634
20170921,-0.003046
20170922,0.000648
20170925,-0.002222
20170926,0.000072
20170927,0.004085
20170928,0.001205
20170929,0.003705
20171002,0.003874
20171003,0.002159
20171004,0.001247
20171005,0.005647
20171006,-0.001074
20171009,-0.001804
20171010,0.002322
20171011,0.001803
20171012,-0.001687
20171013,0.000878
20171016,0.001751
20171017,0.000672
20171018,0.000742
20171019,0.000328
20171020,0.005117
20171023,-0.003972
20171024,0.001618
20171025,-0.004663
20171026,0.001271
20171027,0.008073
20171030,-0.003192
20171031,0.000944
20171101,0.001592
20171102,0.000190
20171103,0.003097
20171106,0.001271
20171107,-0.000189
20171108,0.001444
20171109,-0.003762
20171110,-0.000898
20171113,0.000984
20171114,-0.002310
20171115,-0.005526
20171116,0.008196
20171117,-0.002626
20171120,0.001276
20171121,0.006541
20171122,-0.000750
20171124,0.002056
20171127,-0.000384
20171128,0.009848
20171129,-0.000369
20171130,0.008191
20171201,-0.002024
20171204,-0.001052
20171205,-0.003739
20171206,-0.000114
20171207,0.002932
20171208,0.005506
20171211,0.003202
20171212,0.001549
20171213,-0.000473
20171214,-0.004071
20171215,0.008974
20171218,0.005363
20171219,-0.003230
20171220,-0.000828
20171221,0.001986
20171222,-0.000458
20171226,-0.001058
20171227,0.000791
20171228,0.001834
20171229,-0.005183
20180102,0.008303
20180103,0.006399
20180104,0.004029
20180105,0.007034
20180108,0.001662
20180109,0.001303
20180110,-0.001112
20180111,0.007034
20180112,0.006750
20180116,-0.003524
20180117,0.009415
20180118,-0.001616
20180119,0.004385
20180122,0.008067
20180123,0.002174
20180124,-0.000560
20180125,0.000603
20180126,0.011841
20180129,-0.006732
20180130,-0.010899
20180131,0.000489
20180201,-0.000648
20180202,-0.021209
20180205,-0.040979
20180206,0.017441
20180207,-0.005002
20180208,-0.037536
20180209,0.014936
20180212,0.013915
20180213,0.002613
20180214,0.013402
20180215,0.012069
